ID,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient16,Ingredient17,Ingredient18,Ingredient19,Ingredient20,Ingredient21,Ingredient22,Ingredient23,Ingredient24,Ingredient25,Ingredient26,Ingredient27,Ingredient28,Ingredient29
128671,어묵,김,당면,양파,당근,깻잎,튀김가루,올리브유,간장,참기름,,,,,,,,,,,,,,,,,,,
128892,두부,당근,고추,브로콜리,새우,녹말가루,계란,,,,,,,,,,,,,,,,,,,,,,
128932,밥,당근,단무지,김치,무순,날치알,김가루,후리가케,참기름,통깨,계란,,,,,,,,,,,,,,,,,,
221094,양파,빵가루,달걀,밀가,물,파슬리,,,,,,,,,,,,,,,,,,,,,,,
221097,밥,참치캔,양파,김치,김,고추장,마늘,참기름,맛소금,마요네즈,,,,,,,,,,,,,,,,,,,
221102,밥,깻잎,참치,당근,김,마늘,깨소금,맛소금,참기름,,,,,,,,,,,,,,,,,,,,
223583,새우,밥,김치,당근,감자,양파,빵가루,달걀,밀가루,,,,,,,,,,,,,,,,,,,,
225141,밥,김치,베이컨,깻잎,양파,,,,,,,,,,,,,,,,,,,,,,,,
225146,식빵,스팸,오이,체다치즈,머스터드,피클,마요네즈,,,,,,,,,,,,,,,,,,,,,,
331003,고구마,모차렐라치즈,버터,밀가루,빵가루,달걀,,,,,,,,,,,,,,,,,,,,,,,
333869,새우,양파,김치,밥,김,계란,밀가루,빵가루,카레가루,,,,,,,,,,,,,,,,,,,,
346652,감자,생크림,우유,양파,베이컨,체다치즈,모짜렐라치즈,버터,육수,,,,,,,,,,,,,,,,,,,,
346665,라면,김치,굴,파,고추,고춧가루,,,,,,,,,,,,,,,,,,,,,,,
347791,감자,올리브유,베이컨,모짜렐라치즈,파슬리,소금,,,,,,,,,,,,,,,,,,,,,,,
349381,두부,포도씨유,소금,꽈리고추,양파,파,간장,물,설탕,물엿,굴소스,고춧가루,마늘,후춧가루,,,,,,,,,,,,,,,
375800,돼지고기,감자,양파,두부,고추장,된장,물,마늘,참기름,,,,,,,,,,,,,,,,,,,,
376020,닭,올리브오일,소금,바질,후추,감자,,,,,,,,,,,,,,,,,,,,,,,
380960,밥,감자,양파,피망,파프리카,베이컨,햄,모짜렐라치즈,스프가루,,,,,,,,,,,,,,,,,,,,
385717,감자,올리브유,소금,후춧가루,파슬리가루,마늘,샤워크림,케첩,살사소스,치즈소스,,,,,,,,,,,,,,,,,,,
387766,어묵,팽이버섯,쑥갓,당근,표고버섯,파,물,카레가루,가쓰오부시장국,,,,,,,,,,,,,,,,,,,,
387802,어묵,양배추,무,파,양파,건새우,다시마,고추,고춧가루,고추장,간장,설탕,물엿,마늘,청주,후추가루,,,,,,,,,,,,,
387811,홍합,베이컨,양파,파프리카,파슬리,생크림,치즈,,,,,,,,,,,,,,,,,,,,,,
413979,오이,소금,파,마늘,고추장,고춧가루,설탕,깨소금,식초,참기름,통깨,,,,,,,,,,,,,,,,,,
414319,또띠아,훈제연어,양파,오이,상추,오렌지,마요네즈,케이퍼,,,,,,,,,,,,,,,,,,,,,
414544,밥,김치,어묵,계란,파슬리,설탕,굴소스,통깨,들기름,,,,,,,,,,,,,,,,,,,,
518675,참치캔,김치,양파,파,마늘,소금,녹말가루,계란,식용유,,,,,,,,,,,,,,,,,,,,
529603,갈치,무,감자,물,고추,고춧가루,고추장,마늘,간장,설탕,참기름,맛술,,,,,,,,,,,,,,,,,
549832,무,오징어,밥,김,물,식초,설탕,소금,고춧가루,고추장,간장,식초,마늘,설탕,물엿,참기름,후춧가루,,,,,,,,,,,,
558801,고구마,양파,당근,느타리버섯,튀김가루,달걀,맥주,간장,고춧가루,참기름,통깨,,,,,,,,,,,,,,,,,,
566763,홍합 ,다시마,무,고추,파,소금,,,,,,,,,,,,,,,,,,,,,,,
567959,달래,김,깨소금,참기름,간장,올리고당,,,,,,,,,,,,,,,,,,,,,,,
568281,키위,바나나,설탕,레몬즙,,,,,,,,,,,,,,,,,,,,,,,,,
569442,달걀,물,다시마,파,참기름 ,새우젓,고춧가루,소금 ,,,,,,,,,,,,,,,,,,,,,
570245,꽃게,양파,무,애호박,고추,파,마늘,된장,고춧가루,멸치육수,,,,,,,,,,,,,,,,,,,
578456,김치,새우,오징어,양파,당근,밥,마늘,다진생강,포도씨유,맛술,소금,후춧가루,케첩,설탕,물엿,핫소스,굴소스,참기름,,,,,,,,,,,
587520,딸기,사과,귤,샐러드채소,방울토마토,아몬드,땅콩,피스타치오,딸기,요구르트,꿀,레몬즙,,,,,,,,,,,,,,,,,
593319,두부,쇠고기,파,모짜렐라치즈,포도씨유,소금,간장,핫소스,설탕,마늘,청주,참기름,후춧가루,,,,,,,,,,,,,,,,
618675,귤,생강,물,꿀,,,,,,,,,,,,,,,,,,,,,,,,,
618953,김치,베이컨,양파,마늘,고추,식용유,버터,김가루,달걀,소금,,,,,,,,,,,,,,,,,,,
620998,계란,설탕,캬라멜크림,아몬드,아몬드가루,박력분,베이킹파우더,,,,,,,,,,,,,,,,,,,,,,
623625,계란,우유,바나나,딸기,다진피칸,바질잎,버터,소금,설탕,,,,,,,,,,,,,,,,,,,,
630167,김치,햄,밥,달걀,간장,설탕,참기름,깨소금,식용유,,,,,,,,,,,,,,,,,,,,
635865,밥,오이,맛살,단무지,참치캔,김,훈제연어,식초,설탕,소금,참기름,날치알,와사비,마요네즈,핫소스,레몬즙,후춧가루,마요네즈,레몬즙,,,,,,,,,,
642298,콩나물,달래,당근,고춧가루,간장,마늘,깨소금,들기름,참기름,파,,,,,,,,,,,,,,,,,,,
644069,메추리알,튀김가루,통깨,튀김가루,맥주,고추장,케첩,간장,물엿,설탕,과일즙,통깨,,,,,,,,,,,,,,,,,
651317,닭,오징어,새우,감자,당근,양파,고추,다시마,물,녹말가루,물,소금,후춧가루,마늘,참기름,간장,설탕,물엿,굴소스,생강즙,맛술,,,,,,,,
654185,달걀,꽈리고추,마늘,멸치,다시마,물,간장,설탕,맛술,,,,,,,,,,,,,,,,,,,,
654190,쫄면,콩나물,오이,당근,적양배추,삶은달걀,고추장,고춧가루,간장,물엿,설탕,식초,참기름,마늘,과일즙,,,,,,,,,,,,,,
654934,계란,감자,양파,모짜렐라치즈,소금,파슬리가루,버터,밀가루,우유,,,,,,,,,,,,,,,,,,,,
658148,딸기,설탕,레몬즙,크림치즈,플레인요거트,설탕,레몬즙,생크림,카스텔라,,,,,,,,,,,,,,,,,,,,
665196,바나나,설탕,물,레몬즙,쵸콜릿,,,,,,,,,,,,,,,,,,,,,,,,
